calc_days,data_well_name_id,total_fluid_bpd
0.875,COOPER 81H,3120
0.875,COOPER 82H,3864
0.875,COOPER 83H,3576
0.875,COOPER 84H,4944
0.917,COOPER 11H,3456
0.917,COOPER 12H,3984
0.917,COOPER 13H,3480
0.917,COOPER 14H,5808
0.917,COOPER 15H,2808
0.917,COOPER 81H,3048
0.917,COOPER 82H,3960
0.917,COOPER 83H,3528
0.917,COOPER 84H,4824
0.958,COOPER 11H,3648
0.958,COOPER 12H,4032
0.958,COOPER 13H,3552
0.958,COOPER 14H,5832
0.958,COOPER 15H,2784
0.958,COOPER 81H,2904
0.958,COOPER 82H,4032
0.958,COOPER 83H,3528
0.958,COOPER 84H,4824
1.000,COOPER 11H,3576
1.000,COOPER 12H,4080
1.000,COOPER 13H,3840
1.000,COOPER 14H,6024
1.000,COOPER 15H,2928
1.000,COOPER 81H,2976
1.000,COOPER 82H,4104
1.000,COOPER 83H,3600
1.000,COOPER 84H,4920
1.042,COOPER 11H,3576
1.042,COOPER 12H,4152
1.042,COOPER 13H,3912
1.042,COOPER 14H,6096
1.042,COOPER 15H,2832
1.042,COOPER 81H,2808
1.042,COOPER 82H,4248
1.042,COOPER 83H,3600
1.042,COOPER 84H,4848
1.083,COOPER 11H,3624
1.083,COOPER 12H,4584
1.083,COOPER 13H,3984
1.083,COOPER 14H,6048
1.083,COOPER 15H,2760
1.083,COOPER 81H,4632
1.083,COOPER 82H,4824
1.083,COOPER 83H,3648
1.083,COOPER 84H,4824
1.125,COOPER 11H,3600
1.125,COOPER 12H,4728
1.125,COOPER 13H,3936
1.125,COOPER 14H,6000
1.125,COOPER 15H,5328
1.125,COOPER 81H,4104
1.125,COOPER 82H,4704
1.125,COOPER 83H,3672
1.125,COOPER 84H,4752
1.167,COOPER 11H,3768
1.167,COOPER 12H,4752
1.167,COOPER 13H,4008
1.167,COOPER 14H,6048
1.167,COOPER 15H,5616
1.167,COOPER 81H,3576
1.167,COOPER 82H,4872
1.167,COOPER 83H,3744
1.167,COOPER 84H,4656
1.208,COOPER 11H,3768
1.208,COOPER 12H,4944
1.208,COOPER 13H,4056
1.208,COOPER 14H,5904
1.208,COOPER 15H,5304
1.208,COOPER 81H,3648
1.208,COOPER 82H,4872
1.208,COOPER 83H,3720
1.208,COOPER 84H,4680
1.250,COOPER 11H,3672
1.250,COOPER 12H,4992
1.250,COOPER 13H,4056
1.250,COOPER 14H,5976
1.250,COOPER 15H,5232
1.250,COOPER 81H,3600
1.250,COOPER 82H,4704
1.250,COOPER 83H,3744
1.250,COOPER 84H,4704
1.292,COOPER 11H,3600
1.292,COOPER 12H,4848
1.292,COOPER 13H,4032
1.292,COOPER 14H,5880
1.292,COOPER 15H,5520
1.292,COOPER 81H,3576
1.292,COOPER 82H,4752
1.292,COOPER 83H,3720
1.292,COOPER 84H,4680
1.333,COOPER 11H,3624
1.333,COOPER 12H,4704
1.333,COOPER 13H,4056
1.333,COOPER 14H,5880
1.333,COOPER 15H,5472
1.333,COOPER 81H,3816
1.333,COOPER 82H,4560
1.333,COOPER 83H,3648
1.333,COOPER 84H,4560
1.375,COOPER 11H,3528
1.375,COOPER 12H,4776
1.375,COOPER 13H,3984
1.375,COOPER 14H,5832
1.375,COOPER 15H,5400
1.375,COOPER 81H,3888
1.375,COOPER 82H,4632
1.375,COOPER 83H,3600
1.375,COOPER 84H,4632
1.417,COOPER 11H,3528
1.417,COOPER 12H,4656
1.417,COOPER 13H,4080
1.417,COOPER 14H,5808
1.417,COOPER 15H,5496
1.417,COOPER 81H,3696
1.417,COOPER 82H,4752
1.417,COOPER 83H,3672
1.417,COOPER 84H,4728
1.458,COOPER 11H,3552
1.458,COOPER 12H,4704
1.458,COOPER 13H,3984
1.458,COOPER 14H,5856
1.458,COOPER 15H,5352
1.458,COOPER 81H,3744
1.458,COOPER 82H,4560
1.458,COOPER 83H,3552
1.458,COOPER 84H,4848
1.500,COOPER 11H,3624
1.500,COOPER 12H,4560
1.500,COOPER 13H,4032
1.500,COOPER 14H,6048
1.500,COOPER 15H,5448
1.500,COOPER 81H,3648
1.500,COOPER 82H,4632
1.500,COOPER 83H,3624
1.500,COOPER 84H,4872
1.542,COOPER 11H,3576
1.542,COOPER 12H,4680
1.542,COOPER 13H,4032
1.542,COOPER 14H,6096
1.542,COOPER 15H,5448
1.542,COOPER 81H,3816
1.542,COOPER 82H,4680
1.542,COOPER 83H,3528
1.542,COOPER 84H,4800
1.583,COOPER 11H,3648
1.583,COOPER 12H,4824
1.583,COOPER 13H,4032
1.583,COOPER 14H,6024
1.583,COOPER 15H,5376
1.583,COOPER 81H,3672
1.583,COOPER 82H,4584
1.583,COOPER 83H,3624
1.583,COOPER 84H,4680
1.625,COOPER 11H,3600
1.625,COOPER 12H,4752
1.625,COOPER 13H,3984
1.625,COOPER 14H,5976
1.625,COOPER 15H,5448
1.625,COOPER 81H,3648
1.625,COOPER 82H,4632
1.625,COOPER 83H,4104
1.625,COOPER 84H,4800
1.667,COOPER 11H,3552
1.667,COOPER 12H,4704
1.667,COOPER 13H,3960
1.667,COOPER 14H,5976
1.667,COOPER 15H,5376
1.667,COOPER 81H,3528
1.667,COOPER 82H,4728
1.667,COOPER 83H,4200
1.667,COOPER 84H,4608
1.708,COOPER 11H,5016
1.708,COOPER 12H,4704
1.708,COOPER 13H,4032
1.708,COOPER 14H,5808
1.708,COOPER 15H,5280
1.708,COOPER 81H,3600
1.708,COOPER 82H,4800
1.708,COOPER 83H,4968
1.708,COOPER 84H,4584
1.750,COOPER 11H,4776
