AUTOMATION_NAME,API_NO14,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,PROD_SAND_VOL,CHLORIDES_PPM,DHG_PRES,HGDRN_BRWN_FBHP,BEGGS_BRILL_FBHP,PETEX2_FBHP,PETEX5_FBHP,FBHP,Gradient,Oil PI,Liquid PI,INITIAL_PRESSURE,date_number,new_date,FORMATION,COLOR,PROP
COOPER5W-15H,4.24E+13,43468.66667,0.083333333,2,1,0.041666667,0,97,0,0,20,,0,2995,N,0,0,7209.09,7612.6,7618.1,7612.7,7612.6,7486,0,0,9.312,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43468.70833,0.125,3,2,0.083333333,0,121,0,0,20,,0,3055,N,0,0,7191.39,7674.9,7680.4,7675,7674.9,7468,0,0,10.8358209,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43468.75,0.166666667,4,3,0.125,0,128,130,130,20,,0,3125,N,0,0,7204.6,7746.1,7751.6,7746.1,7746.1,7482,0,0,12.09448819,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43468.79167,0.208333333,5,4,0.166666667,0,130,130,130,20,,0,3055,N,0,0,7204.11,7675.8,7681.3,7675.9,7675.8,7481,0,0,12.23529412,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43468.83333,0.25,6,5,0.208333333,0,90,80,80,22,,0,3005,N,0,0,7195.27,7622.3,7627.8,7622.3,7622.3,7472,0,0,8.181818182,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43468.875,0.291666667,7,6,0.25,4,107,645,645,22,,0,2980,N,0,0,7176.17,7274.5,7300.1,7331.4,7274.5,7453,0,0.339222615,9.413427562,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43468.91667,0.333333333,8,7,0.291666667,5,128,448,448,22,,0,3035,N,0,0,7164.77,7428.1,7424.8,7469.3,7428.1,7442,0,0.408163265,10.85714286,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43468.95833,0.375,9,8,0.333333333,12,114,733,733,22,,0,3065,N,0,0,7159.3,7264.7,7262.8,7345.9,7264.8,7436,0,0.96,10.08,7736,43468,1/3/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469,0.416666667,10,9,0.375,14,98,576,576,22,,0,3060,N,0,0,7158.57,7263.9,7270.4,7355.9,7263.9,7435,0,1.11627907,8.930232558,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.04167,0.458333333,11,10,0.416666667,12,97,732,732,22,,0,3045,N,0,0,7153.87,7189.8,7203.5,7286.2,7189.8,7431,0,0.944262295,8.57704918,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.08333,0.5,12,11,0.458333333,14,106,811,811,22,,0,3040,N,0,0,7149.99,7173.1,7175,7264.4,7173.1,7427,0,1.087378641,9.32038835,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.125,0.541666667,13,12,0.5,12,97,764,764,22,,0,3040,N,0,0,7145.89,7172.9,7187.7,7269.3,7172.9,7423,0,0.920127796,8.357827476,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.16667,0.583333333,14,13,0.541666667,13,102,433,433,22,,0,3040,N,0,0,7141.68,7331.8,7337.2,7410.1,7331.8,7419,0,0.984227129,8.706624606,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.20833,0.625,15,14,0.583333333,14,105,873,873,22,,0,3045,N,0,0,7137.47,7152.6,7154.6,7245,7152.6,7414,0,1.043478261,8.869565217,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.25,0.666666667,16,15,0.625,15,104,775,775,22,,0,3040,N,0,0,7132.9,7174.2,7177.2,7267.5,7174.2,7410,0,1.104294479,8.760736196,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.29167,0.708333333,17,16,0.666666667,14,109,649,649,22,,0,3045,N,0,0,7128.86,7251.3,7254,7336.6,7251.4,7406,0,1.018181818,8.945454545,7736,43469,1/4/2019,WCA,blue,BP
COOPER5W-15H,4.24E+13,43469.33333,0.75,18,17,0.708333333,16,102,602,602,22,,0,3045,N,0,0,7124.74,7243.5,7248.2,7331.6,7243.5,7402,0,1.149700599,8.479041916,7736,43469,1/4/2019,WCA,blue,BP
