Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Example 1h,5/22/2019 9:59:44 AM,20.912,1.503,1008.447,100
Example 1h,5/22/2019 9:59:49 AM,20.912,1.507,1008.449,100
Example 1h,5/22/2019 9:59:54 AM,20.912,1.494,1008.335,100
Example 1h,5/22/2019 9:59:59 AM,20.912,1.492,1008.188,100
Example 1h,5/22/2019 10:00:04 AM,20.912,1.446,1007.909,100
Example 1h,5/22/2019 10:00:09 AM,20.912,1.44,1008.166,100
Example 1h,5/22/2019 10:00:14 AM,20.912,1.467,1008.718,100
Example 1h,5/22/2019 10:00:19 AM,20.912,1.523,1008.657,100
Example 1h,5/22/2019 10:00:24 AM,20.912,1.521,1008.354,100
Example 1h,5/22/2019 10:00:29 AM,20.912,1.479,1008.144,100
Example 1h,5/22/2019 10:00:34 AM,20.912,1.46,1008.131,100
Example 1h,5/22/2019 10:00:39 AM,20.912,1.466,1008.384,100
Example 1h,5/22/2019 10:00:44 AM,20.912,1.487,1008.307,100
Example 1h,5/22/2019 10:00:49 AM,20.912,1.479,1008.455,100
Example 1h,5/22/2019 10:00:54 AM,20.912,1.484,1008.322,100
Example 1h,5/22/2019 10:00:59 AM,20.912,1.462,1008.098,100
Example 1h,5/22/2019 10:01:04 AM,20.912,1.49,1008.716,100
Example 1h,5/22/2019 10:01:09 AM,20.912,1.504,1008.499,100
Example 1h,5/22/2019 10:01:14 AM,20.912,1.525,1008.927,100
Example 1h,5/22/2019 10:01:19 AM,20.912,1.536,1008.596,100
Example 1h,5/22/2019 10:01:24 AM,20.912,1.502,1008.112,100
Example 1h,5/22/2019 10:01:29 AM,20.912,1.448,1007.979,100
Example 1h,5/22/2019 10:01:34 AM,20.912,1.422,1007.707,100
Example 1h,5/22/2019 10:01:39 AM,20.912,1.424,1008.363,100
Example 1h,5/22/2019 10:01:44 AM,20.912,1.486,1008.493,100
Example 1h,5/22/2019 10:01:49 AM,20.912,1.481,1008.364,100
Example 1h,5/22/2019 10:01:54 AM,20.912,1.493,1008.369,100
Example 1h,5/22/2019 10:01:59 AM,20.912,1.482,1008.249,100
Example 1h,5/22/2019 10:02:04 AM,20.912,1.485,1008.337,100
Example 1h,5/22/2019 10:02:09 AM,20.912,1.471,1008.132,100
Example 1h,5/22/2019 10:02:14 AM,20.912,1.453,1008.006,100
Example 1h,5/22/2019 10:02:19 AM,20.912,1.44,1008.223,100
Example 1h,5/22/2019 10:02:24 AM,20.912,1.454,1008.201,100
Example 1h,5/22/2019 10:02:29 AM,20.912,1.449,1008.157,100
Example 1h,5/22/2019 10:02:34 AM,20.912,1.455,1008.077,100
Example 1h,5/22/2019 10:02:39 AM,20.912,1.441,1007.889,100
Example 1h,5/22/2019 10:02:44 AM,20.912,1.422,1008.07,100
Example 1h,5/22/2019 10:02:49 AM,20.912,1.453,1008.478,100
Example 1h,5/22/2019 10:02:54 AM,20.912,1.476,1008.337,100
Example 1h,5/22/2019 10:02:59 AM,20.912,1.466,1008.317,100
Example 1h,5/22/2019 10:03:04 AM,20.912,1.494,1008.502,100
Example 1h,5/22/2019 10:03:09 AM,20.912,1.516,1008.786,100
Example 1h,5/22/2019 10:03:14 AM,20.912,1.541,1008.883,100
Example 1h,5/22/2019 10:03:19 AM,20.912,1.575,1008.97,100
Example 1h,5/22/2019 10:03:24 AM,20.912,1.585,1008.742,100
Example 1h,5/22/2019 10:03:29 AM,20.912,1.567,1008.873,100
Example 1h,5/22/2019 10:03:34 AM,20.912,1.566,1008.706,100
Example 1h,5/22/2019 10:03:39 AM,20.912,1.562,1008.803,100
Example 1h,5/22/2019 10:03:44 AM,20.912,1.537,1008.505,100
Example 1h,5/22/2019 10:03:49 AM,20.912,1.505,1008.203,100
Example 1h,5/22/2019 10:03:54 AM,20.912,1.5,1008.347,100
Example 1h,5/22/2019 10:03:59 AM,20.912,1.458,1007.983,100
Example 1h,5/22/2019 10:04:04 AM,20.912,1.434,1007.925,100
Example 1h,5/22/2019 10:04:09 AM,20.912,1.425,1008.154,100
Example 1h,5/22/2019 10:04:14 AM,20.912,1.458,1008.405,100
Example 1h,5/22/2019 10:04:19 AM,20.912,1.466,1008.257,100
Example 1h,5/22/2019 10:04:24 AM,20.912,1.452,1008.04,100
Example 1h,5/22/2019 10:04:29 AM,20.912,1.455,1008.372,100
