Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
6393,510.75,341,1.306,0.692319725,6.094,9972,4411.81
6099,483.45,342,1.311,0.688637482,6.094,9972,4325.62
6426,459.46,343,1.309,0.71599751,6.094,9972,4250.38
5434,431.54,344,1.32,0.681634155,6.094,9972,4179.41
5414,406.58,345,1.326,0.686922793,6.094,9972,4124.34
5300,385.93,346,1.28,0.671698113,6.094,9972,4057.44
5124,371.96,347,1.278,0.667447307,6.094,9972,4008.01
4866,359.42,348,1.3,0.670571311,6.094,9972,3965.58
4680,346.73,349,1.289,0.669871795,6.094,9972,3915.11
4311,335.27,350,1.375,0.66829042,6.094,9972,3877.99
