Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
4700,217.82,100,1.447,0.896595745,6.094,10300,3996.31
3543,218.34,361,1.329,0.657634773,6.094,9972,3458.53
1848,218.74,100,1.331,0.444264069,6.094,9592,2319.46
2949,220.45,237,1.799,0.805696846,6.094,10282,3099.419
1970,220.87,100,1.448,0.58071066,6.094,10081,2630.06
3954,221.88,360,1.231,0.668689934,6.094,9972,3486.73
4585,221.9,100,1.532,0.895965104,6.094,10300,4002.88
1916,222.72,100,1.325,0.449373695,6.094,9592,2326.09
4753,223.8,100,1.456,0.895224069,6.094,10300,4006.33
4721,227.52,100,1.538,0.895996611,6.094,10300,4011.65
1975,228.89,100,1.323,0.458227848,6.094,9592,2354.11
2077,230.47,100,1.467,0.580645161,6.094,10081,2671.95
2421,231.9,219,1.545,0.545642297,6.094,9897,2432.08
3757,232.58,359,1.091,0.644663295,6.094,9972,3512.01
938,232.63,100,1.522,0.462686567,6.094,10300,4039.19
2043,233.55,100,1.315,0.463534019,6.094,9592,2359.3
5169,235.19,100,1.462,0.896111434,6.094,10300,4031.07
3071,235.52,236,1.48,0.797134484,6.094,10282,3183.936
1563,236.5,100,1.329,0.5540627,6.094,9638,2873.17
1583,236.7,100,1.363,0.559696778,6.094,9638,2874.69
