Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
2328,2995,100,0.1,0.99,6.094,10000,7578.76
2904,3055,100,0.1,0.99,6.094,10000,7641.79
3072,3125,100,0.1,0.99,6.094,10000,7713.08
3120,3055,100,0.1,0.99,6.094,10000,7642.9
2160,3005,100,0.1,0.99,6.094,10000,7588.15
2664,2980,100,6.71875,0.963963964,6.094,10000,7281.5
3192,3035,100,3.733333333,0.962406015,6.094,10000,7418.76
3024,3065,100,2.545138889,0.904761905,6.094,10000,7258.46
2688,3060,100,1.714285714,0.875,6.094,10000,7253.02
2616,3045,100,2.541666667,0.889908257,6.094,10000,7185.18
2880,3040,100,2.413690476,0.883333333,6.094,10000,7168.65
2616,3040,100,2.652777778,0.889908257,6.094,10000,7169.63
2760,3040,100,1.387820513,0.886956522,6.094,10000,7317.85
2856,3045,100,2.598214286,0.882352941,6.094,10000,7150.59
2856,3040,100,2.152777778,0.87394958,6.094,10000,7167.93
2952,3045,100,1.931547619,0.886178862,6.094,10000,7241.51
2832,3045,100,1.567708333,0.86440678,6.094,10000,7232.51
2712,3045,100,1.700520833,0.85840708,6.094,10000,7192.61
2976,3045,100,1.291666667,0.862903226,6.094,10000,7280.43
2880,3045,100,1.969444444,0.875,6.094,10000,7200.94
2808,3045,100,1.625,0.863247863,6.094,10000,7219.31
2784,3045,100,1.676470588,0.853448276,6.094,10000,7182.99
2928,3045,100,1.715277778,0.852459016,6.094,10000,7173.69
2832,3045,100,1.664215686,0.855932203,6.094,10000,7192.18
2760,3045,100,1.64254386,0.834782609,6.094,10000,7138.15
5328,3035,100,1.451612903,0.86036036,6.094,10000,7248.49
5616,3030,100,1.076576577,0.841880342,6.094,10000,7283.67
5304,3010,100,1.098837209,0.805429864,6.094,10000,7178.56
5232,3000,100,1.05995935,0.811926606,6.094,10000,7191.85
5520,2990,100,0.996296296,0.804347826,6.094,10000,7187.04
5472,2980,100,1.071969697,0.807017544,6.094,10000,7160.49
5400,2975,100,0.994565217,0.795555556,6.094,10000,7154.15
5496,2970,100,1.041666667,0.80349345,6.094,10000,7151.98
5352,2965,100,0.975775194,0.807174888,6.094,10000,7171.49
5448,2960,100,0.841856061,0.806167401,6.094,10000,7203.42
5448,2955,100,0.894021739,0.797356828,6.094,10000,7167.45
5376,2955,100,1.02037037,0.799107143,6.094,10000,7133.07
5448,2950,100,1.010416667,0.806167401,6.094,10000,7145.44
5376,2950,100,0.910326087,0.794642857,6.094,10000,7151.93
5280,2945,100,1.048148148,0.795454545,6.094,10000,7106.75
5280,2945,100,0.97251773,0.786363636,6.094,10000,7111.69
5376,2940,100,0.926215278,0.785714286,6.094,10000,7120.54
5328,2940,100,0.978298611,0.783783784,6.094,10000,7100.39
5880,2940,100,0.996794872,0.787755102,6.094,10000,7107.63
6552,2880,100,1.049568966,0.787545788,6.094,10000,7037.62
8280,2850,100,0.784364261,0.71884058,6.094,10000,6996.06
7992,2840,100,0.722052846,0.753753754,6.094,10000,7059.78
7680,2835,100,0.765318627,0.7875,6.094,10000,7091.51
7776,2825,100,0.872474747,0.796296296,6.094,10000,7065.84
7728,2815,100,0.717995169,0.785714286,6.094,10000,7083.26
7608,2810,100,0.797979798,0.791798107,6.094,10000,7062.79
7704,2805,100,0.803308824,0.788161994,6.094,10000,7051.14
7728,2800,100,0.786691542,0.791925466,6.094,10000,7057.74
7584,2790,100,0.727328431,0.784810127,6.094,10000,7051.97
7512,2785,100,0.840909091,0.78913738,6.094,10000,7018.84
7608,2780,100,0.787247475,0.791798107,6.094,10000,7035.67
7536,2775,100,0.734615385,0.792993631,6.094,10000,7047.32
7512,2770,100,0.791035354,0.78913738,6.094,10000,7018.75
7488,2765,100,0.717039801,0.78525641,6.094,10000,7029.39
7512,2765,100,0.69340796,0.785942492,6.094,10000,7037.9
7632,2755,100,0.855633803,0.77672956,6.094,10000,6963.7
7632,2750,100,0.787820513,0.795597484,6.094,10000,7011.9
7680,2745,100,0.800724638,0.784375,6.094,10000,6984.52
7656,2740,100,0.835119048,0.780564263,6.094,10000,6961.95
7584,2735,100,0.759661836,0.78164557,6.094,10000,6981.33
7536,2725,100,0.843599034,0.780254777,6.094,10000,6942.09
7560,2720,100,0.863357843,0.784126984,6.094,10000,6937.95
7560,2720,100,0.745833333,0.777777778,6.094,10000,6963.85
7464,2715,100,0.783816425,0.778135048,6.094,10000,6946.28
10152,2650,100,0.853365385,0.754137116,6.094,10000,6855.2
10056,2630,100,1.185779817,0.739856802,6.094,10000,6693.16
8928,2620,100,1.111111111,0.782258065,6.094,10000,6775.07
8928,2610,100,1.24137931,0.766129032,6.094,10000,6691.23
9024,2600,100,1.157520325,0.781914894,6.094,10000,6741.35
8952,2590,100,1.175099206,0.774798928,6.094,10000,6709.94
9192,2585,100,1.056344697,0.770234987,6.094,10000,6736.51
9192,2575,100,1.132352941,0.778067885,6.094,10000,6718.13
9120,2565,100,1.044573643,0.773684211,6.094,10000,6725.56
9168,2560,100,1.135416667,0.780104712,6.094,10000,6705.73
9192,2555,100,1.046934866,0.772845953,6.094,10000,6714.08
9264,2550,100,0.963541667,0.772020725,6.094,10000,6735.24
9384,2545,100,1.007958801,0.772378517,6.094,10000,6718.36
9288,2540,100,0.992424242,0.772609819,6.094,10000,6717.25
9360,2535,100,1.079980843,0.776923077,6.094,10000,6693.86
9216,2530,100,1.134205426,0.776041667,6.094,10000,6667.9
9336,2520,100,1.024812734,0.771208226,6.094,10000,6684.54
9336,2510,100,1.046401515,0.77377892,6.094,10000,6672.43
9216,2500,100,0.976388889,0.765625,6.094,10000,6667.6
9192,2595,100,1.080615942,0.759791123,6.094,10000,6718.4
9024,2590,100,1.041666667,0.757978723,6.094,10000,6720.18
8952,2585,100,1.090201465,0.756032172,6.094,10000,6694.1
8904,2580,100,1.025362319,0.752021563,6.094,10000,6702.39
8880,2475,100,1.032258065,0.748648649,6.094,10000,6586.33
8832,2470,100,1.161290323,0.747282609,6.094,10000,6533.67
8832,2465,100,1.061842105,0.741847826,6.094,10000,6552.14
8880,2460,100,0.980670103,0.737837838,6.094,10000,6569.1
8808,2455,100,1.376736111,0.738419619,6.094,10000,6427.57
8784,2450,100,1.070876289,0.734972678,6.094,10000,6519.76
8712,2445,100,1.429123711,0.732782369,6.094,10000,6386.4
8928,2440,100,1.143282313,0.73655914,6.094,10000,6489.1
9360,2400,100,1.013492063,0.730769231,6.094,10000,6490.11
9528,2385,100,1.084104938,0.727959698,6.094,10000,6446.24
9552,2375,100,0.949766355,0.731155779,6.094,10000,6491.71
9456,2370,100,0.983883648,0.730964467,6.094,10000,6472.17
9528,2365,100,1.03076324,0.730478589,6.094,10000,6450.02
9456,2360,100,1.014297386,0.741116751,6.094,10000,6469.64
9216,2350,100,1.086309524,0.744791667,6.094,10000,6437.27
9480,2345,100,1.097772277,0.744303797,6.094,10000,6431.21
9312,2335,100,1.06523569,0.744845361,6.094,10000,6430.85
9408,2325,100,1.120833333,0.744897959,6.094,10000,6402.69
9216,2320,100,1.238831615,0.747395833,6.094,10000,6359.33
9192,2310,100,1.164540816,0.744125326,6.094,10000,6367.25
9096,2300,100,1.071003401,0.741424802,6.094,10000,6383.04
12120,2220,100,1.109821429,0.722772277,6.094,10000,6302.7
11424,2160,100,1.019685039,0.733193277,6.094,10000,6280.62
11088,2130,100,1.056850282,0.744588745,6.094,10000,6251.52
10800,2115,100,0.950757576,0.755555556,6.094,10000,6289.64
12624,2100,100,1.120061728,0.743346008,6.094,10000,6224.55
12696,2090,100,1.210057471,0.725897921,6.094,10000,6148.08
12624,2080,100,1.122184685,0.718631179,6.094,10000,6154.49
12360,2070,100,1.034869976,0.726213592,6.094,10000,6186.48
12312,2060,100,1.116258741,0.721247563,6.094,10000,6134.58
12288,2050,100,1.180266204,0.71875,6.094,10000,6094.39
11736,2040,100,1.280666667,0.744376278,6.094,10000,6089.72
11688,2035,100,1.210629921,0.739219713,6.094,10000,6097.37
11544,2015,100,1.395663957,0.744282744,6.094,10000,6016.69
11760,1995,100,1.31547619,0.742857143,6.094,10000,6025.58
11712,1985,100,1.316272966,0.739754098,6.094,10000,6006.94
11520,1965,100,1.315,0.739583333,6.094,10000,5980.51
11592,1955,100,1.350806452,0.743271222,6.094,10000,5966.69
11568,1950,100,1.285714286,0.738589212,6.094,10000,5975.29
11592,1945,100,1.187333333,0.741200828,6.094,10000,6013.2
11544,1935,100,1.224537037,0.738045738,6.094,10000,5981.52
11568,1930,100,1.303333333,0.7406639,6.094,10000,5950.54
11616,1920,100,1.26984127,0.739669421,6.094,10000,5952.25
11808,1910,100,1.238690476,0.715447154,6.094,10000,5904.13
11904,1890,100,1.133215962,0.713709677,6.094,10000,5925.87
11976,1860,100,1.102924945,0.69739479,6.094,10000,5875.97
12024,1830,100,1.144574944,0.70259481,6.094,10000,5835.82
11832,1815,100,1.246212121,0.709939148,6.094,10000,5785.87
11904,1805,100,1.189497717,0.705645161,6.094,10000,5790.79
11808,1805,100,1.108908046,0.705284553,6.094,10000,5824.97
11712,1800,100,1.173368298,0.706967213,6.094,10000,5792.56
11664,1800,100,1.224107143,0.711934156,6.094,10000,5779.41
11640,1800,100,1.085664336,0.705154639,6.094,10000,5825.98
11640,1755,100,1.069047619,0.711340206,6.094,10000,5796.66
11640,1755,100,1.169014085,0.707216495,6.094,10000,5743.02
11520,1750,100,1.139479905,0.70625,6.094,10000,5747.44
11616,1745,100,1.027488426,0.702479339,6.094,10000,5788.04
11496,1740,100,1.012030516,0.703549061,6.094,10000,5789.2
11472,1735,100,1.109848485,0.70083682,6.094,10000,5732.23
