AUTOMATION_NAME,API_NO14,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,PROD_SAND_VOL,CHLORIDES_PPM,FBHP,,,,,,,,,,,
Hamilton 15h,,7/25/2019,0.708333333,17,17,0.708333333,28,96,384,384,23,0,0,2227,0,,17778,6286.96,,,,,,,,,,,
Hamilton 15h,,7/25/2019,0.75,18,18,0.75,30,91,864,864,23,0,0,2219,0,,17778,6043.94,,,,,,,,,,,
Hamilton 15h,,7/25/2019,0.791666667,19,19,0.791666667,4,126,816,816,23,0,0,2145,0,,17778,6210.37,,,,,,,,,,,
Hamilton 15h,,7/25/2019,0.833333333,20,20,0.833333333,10,119,888,888,23,0,0,2127,0,,17778,6109.36,,,,,,,,,,,
Hamilton 15h,,7/25/2019,0.875,21,21,0.875,16,118,816,816,23,0,0,2122,0,,17778,6086.38,,,,,,,,,,,
Placeholder,,7/24/2019,0.041666667,1,1,0.041666667,0,86,0,0,18,0,0,3068,0,,0,7448.05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
