AUTOMATION_NAME,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,CHLORIDES_PPM,FBHP
Apollo 32h,7/26/2019,1.958333333,47,47,1.958333333,5,182,273,273,20,0,0,3740,0.5,14564,8482.37
Apollo 32h,7/27/2019,2,48,48,2,5,184,265,265,20,0,0,3740,0.5,14564,8485.39
Apollo 32h,7/27/2019,2.041666667,49,49,2.041666667,6,179,272,272,20,0,0,3740,0.5,14564,8478.66
Apollo 32h,7/27/2019,2.083333333,50,50,2.083333333,5,183,268,268,20,0,0,3735,0.5,14564,8479.09
Apollo 32h,7/27/2019,2.125,51,51,2.125,6,181,279,279,20,0,0,3735,0.5,14564,8473.2
Apollo 32h,7/27/2019,2.166666667,52,52,2.166666667,6,177,283,283,20,0,0,3730,0.5,14564,8464.77
Apollo 32h,7/27/2019,2.208333333,53,53,2.208333333,6,180,293,293,20,0,0,3730,0.5,14564,8464.29
Apollo 32h,7/27/2019,2.25,54,54,2.25,5,183,291,291,20,0,0,3730,0.5,14564,8468.7
Apollo 32h,7/27/2019,2.291666667,55,55,2.291666667,6,178,290,290,20,0,0,3725,0.5,14564,8458.7
Apollo 32h,7/27/2019,2.333333333,56,56,2.333333333,6,183,299,299,22,0,0,3715,0.5,14564,8449.63
Apollo 32h,7/27/2019,2.375,57,57,2.375,8,220,384,384,22,0,0,3720,0.5,14564,8455.62
Apollo 32h,7/27/2019,2.416666667,58,58,2.416666667,9,223,379,379,22,0,0,3715,0.5,14564,8451.53
Apollo 32h,7/27/2019,2.458333333,59,59,2.458333333,9,222,408,408,22,0,0,3710,0.5,14564,8440.54
Apollo 32h,7/27/2019,2.5,60,60,2.5,10,224,396,396,22,0,0,3710,0.75,14564,8442.15
Apollo 32h,7/27/2019,2.541666667,61,61,2.541666667,10,224,396,396,22,0,0,3705,0.75,14564,8437.11
