Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
3272.5,292.89,100,3.189,0.819129106,6.094,9487,2259.57
2659,295.29,100,1.323,0.535539677,6.094,9684,2698.05
3234.5,295.49,100,3.084,0.750502396,6.094,9510,1822.29
3967,295.99,100,1.24,0.663221578,6.094,9972,3697.85
2522,298,100,1.253,0.516256939,6.094,9592,2632.12
2079,298.06,100,1.383,0.470899471,6.094,9937,2560.8
3335.1,298.21,100,3.234,0.822164253,6.094,9487,2284.65
2117,298.23,100,1.361,0.577231932,6.094,9638,2901.48
4026,298.37,100,1.312,0.807252856,6.094,10282,3421.668
2273,299.12,100,1.274,0.575450946,6.094,10081,2845.94
2204,299.71,100,1.413,0.579854809,6.094,10081,2860.89
6550,301.95,100,1.493,0.897862595,6.094,10300,4194.74
2554,303.17,100,1.286,0.524667189,6.094,9592,2651.36
3242.8,303.52,100,3.198,0.751449365,6.094,9510,1846.04
3447.3,304.45,100,3.139,0.821454472,6.094,9487,2311.03
2343,304.73,100,1.352,0.580452411,6.094,10081,2871.27
9351,304.92,100,1.299,0.764944926,6.094,9892,6246.104
3729,306.24,100,1.554,0.688924645,6.094,9972,3737.12
2776,308.37,100,1.328,0.542146974,6.094,9684,2724.8
2630,309.02,100,1.526,0.548288973,6.094,9897,2652.88
2636,309.64,100,1.326,0.536798179,6.094,9592,2672.51
3446.9,310.07,100,3.233,0.82268125,6.094,9487,2338.36
2443,311.38,100,1.322,0.579615227,6.094,10081,2887.3
2199,311.9,100,1.338,0.573442474,6.094,9638,2911.54
2077,313.08,100,1.441,0.48675975,6.094,9937,2623.7
6710,313.21,100,1.501,0.899254844,6.094,10300,4223.23
3500.2,314.72,100,3.045,0.745957374,6.094,9510,1852.49
4051,316.08,100,1.385,0.676623056,6.094,9972,3820.57
3631.9,317.26,100,3.13,0.822764944,6.094,9487,2367.39
2699,317.64,100,1.513,0.547980734,6.094,9897,2662.64
2691,318.28,100,1.278,0.530657748,6.094,9592,2699.78
2830,318.67,100,1.365,0.549823322,6.094,9684,2766.7
2517,320.77,100,1.335,0.586412396,6.094,10081,2899.52
4401,321.21,100,1.268,0.801635992,6.094,10282,3522.507
8318,321.82,100,1.412,0.901298389,6.094,10300,4245.86
2857,323.91,100,1.422,0.541827091,6.094,9897,2676.15
4329,323.99,100,1.338,0.667359667,6.094,9972,3851.37
2254,324.18,100,1.374,0.577639752,6.094,9638,2919.45
3652.1,325.33,100,3.15,0.823088086,6.094,9487,2405.71
2031,325.37,100,1.541,0.499261448,6.094,9937,2638.37
2618,329.1,100,1.361,0.524446142,6.094,9592,2738.76
