Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
6000,2200,100,1.1,0.98,1.995,10000,8692.12
6000,2200,100,1.1,0.8,1.995,10000,8517.29
6000,2200,100,1.1,0.55,1.995,10000,8373.84
6000,2200,100,0.5,0.8,1.995,10000,8505.76
6000,2200,100,1.8,0.8,1.995,10000,8590.57
6000,2200,100,3,0.8,1.995,10000,8731.16
6000,2800,100,1.1,0.8,1.995,10000,9113.51
3000,1100,100,1.1,0.8,1.995,10000,5566.15
2000,500,100,1.1,0.8,1.995,10000,4389.38
1000,2800,100,1.1,0.8,1.995,10000,6788.96
4000,1100,100,1.1,0.8,1.995,10000,6059.27
6500,500,100,1.1,0.8,1.995,10000,7200.95
6000,2800,100,1.1,0.55,1.995,10000,8959.42
3000,1100,100,1.1,0.69,1.995,10000,5354.2
2000,500,100,1.1,0.92,1.995,10000,4801.37
1000,2800,100,1.1,0.99,1.995,10000,7193.72
4000,1100,100,1.1,0.65,1.995,10000,5822.71
6500,500,100,1.1,0.58,1.995,10000,7113.39
6000,2800,100,2.8,0.55,1.995,10000,9750.01
3000,1100,100,1.5,0.69,1.995,10000,5202.74
2000,500,100,0.2,0.92,1.995,10000,5018.71
1000,2800,100,0.5,0.99,1.995,10000,7203.36
4000,1100,100,1.3,0.65,1.995,10000,5777.45
6500,500,100,2.3,0.58,1.995,10000,7791.9
6000,2800,100,0.5,0.55,1.995,10000,8872.28
3000,1100,100,0.9,0.69,1.995,10000,5438.15
2000,500,100,3,0.92,1.995,10000,4345.19
1000,2800,100,2.5,0.99,1.995,10000,7171.78
4000,1100,100,1.1,0.65,1.995,10000,5822.71
6500,500,100,0.3,0.58,1.995,10000,6951.87
6000,2200,100,1.1,0.8,2.441,10000,6969.48
3000,2200,100,1.1,0.8,2.441,10000,6328.98
2000,2200,100,1.1,0.8,2.441,10000,6204.85
6000,2800,100,1.1,0.8,2.441,10000,7575.46
6000,1100,100,1.1,0.8,2.441,10000,5807.82
6000,500,100,1.1,0.8,2.441,10000,5072.95
6000,2200,100,1.1,0.98,2.441,10000,7285.32
6000,2200,100,1.1,0.8,2.441,10000,6969.48
6000,2200,100,1.1,0.55,2.441,10000,6633.29
6000,2200,100,0.5,0.8,2.441,10000,7076.79
6000,2200,100,1.8,0.8,2.441,10000,6870.56
6000,2200,100,3,0.8,2.441,10000,6727.7
6000,2800,100,1.1,0.8,2.441,10000,7575.46
3000,1100,100,1.1,0.8,2.441,10000,5135.36
2000,500,100,1.1,0.8,2.441,10000,4159.32
1000,2800,100,1.1,0.8,2.441,10000,6737.94
4000,1100,100,1.1,0.8,2.441,10000,5315.34
6500,500,100,1.1,0.8,2.441,10000,5237.27
6000,2800,100,1.1,0.55,2.441,10000,7238.68
3000,1100,100,1.1,0.69,2.441,10000,4889.28
2000,500,100,1.1,0.92,2.441,10000,4612.61
1000,2800,100,1.1,0.99,2.441,10000,7146.88
4000,1100,100,1.1,0.65,2.441,10000,5006.82
6500,500,100,1.1,0.58,2.441,10000,4889.84
6000,2800,100,2.8,0.55,2.441,10000,7123.02
3000,1100,100,1.5,0.69,2.441,10000,4679.22
2000,500,100,0.2,0.92,2.441,10000,4847.47
1000,2800,100,0.5,0.99,2.441,10000,7156.66
4000,1100,100,1.3,0.65,2.441,10000,4904.11
6500,500,100,2.3,0.58,2.441,10000,4823.96
6000,2800,100,0.5,0.55,2.441,10000,7399.52
3000,1100,100,0.9,0.69,2.441,10000,5004.32
2000,500,100,3,0.92,2.441,10000,4063.1
1000,2800,100,2.5,0.99,2.441,10000,7125.41
4000,1100,100,1.1,0.65,2.441,10000,5006.82
6500,500,100,0.3,0.58,2.441,10000,5278.3
6000,2200,100,1.1,0.8,2.992,10000,6408.84
3000,2200,100,1.1,0.8,2.992,10000,6180.36
2000,2200,100,1.1,0.8,2.992,10000,6136.67
6000,2800,100,1.1,0.8,2.992,10000,7019.55
6000,1100,100,1.1,0.8,2.992,10000,5218.93
6000,500,100,1.1,0.8,2.992,10000,4408.03
6000,2200,100,1.1,0.98,2.992,10000,6777.11
6000,2200,100,1.1,0.8,2.992,10000,6408.84
6000,2200,100,1.1,0.55,2.992,10000,5999.52
6000,2200,100,0.5,0.8,2.992,10000,6560.08
6000,2200,100,1.8,0.8,2.992,10000,6244.14
6000,2200,100,3,0.8,2.992,10000,5992.46
6000,2800,100,1.1,0.8,2.992,10000,7019.55
3000,1100,100,1.1,0.8,2.992,10000,4980.51
2000,500,100,1.1,0.8,2.992,10000,4076.72
1000,2800,100,1.1,0.8,2.992,10000,6719.27
4000,1100,100,1.1,0.8,2.992,10000,5042.72
6500,500,100,1.1,0.8,2.992,10000,4470.11
6000,2800,100,1.1,0.55,2.992,10000,6616.13
3000,1100,100,1.1,0.69,2.992,10000,4721.34
2000,500,100,1.1,0.92,2.992,10000,4547.53
1000,2800,100,1.1,0.99,2.992,10000,7129.39
4000,1100,100,1.1,0.65,2.992,10000,4703.12
6500,500,100,1.1,0.58,2.992,10000,3925.79
6000,2800,100,2.8,0.55,2.992,10000,6166.44
3000,1100,100,1.5,0.69,2.992,10000,4487.13
2000,500,100,0.2,0.92,2.992,10000,4784.25
1000,2800,100,0.5,0.99,2.992,10000,7139.19
4000,1100,100,1.3,0.65,2.992,10000,4579.1
6500,500,100,2.3,0.58,2.992,10000,3450.65
6000,2800,100,0.5,0.55,2.992,10000,6866.23
3000,1100,100,0.9,0.69,2.992,10000,4844.5
2000,500,100,3,0.92,2.992,10000,3971.73
1000,2800,100,2.5,0.99,2.992,10000,7108.94
4000,1100,100,1.1,0.65,2.992,10000,4703.12
6500,500,100,0.3,0.58,2.992,10000,4669.51
6000,2200,100,1.1,0.8,4.778,10000,6126.38
3000,2200,100,1.1,0.8,4.778,10000,6107.82
2000,2200,100,1.1,0.8,4.778,10000,6106.14
6000,2800,100,1.1,0.8,4.778,10000,6737.73
6000,1100,100,1.1,0.8,4.778,10000,4925.35
6000,500,100,1.1,0.8,4.778,10000,4063.36
6000,2200,100,1.1,0.98,4.778,10000,6519.11
6000,2200,100,1.1,0.8,4.778,10000,6126.38
6000,2200,100,1.1,0.55,4.778,10000,5681.17
6000,2200,100,0.5,0.8,4.778,10000,6296.9
6000,2200,100,1.8,0.8,4.778,10000,5932.97
6000,2200,100,3,0.8,4.778,10000,5626.18
6000,2800,100,1.1,0.8,4.778,10000,6737.73
3000,1100,100,1.1,0.8,4.778,10000,4913.15
2000,500,100,1.1,0.8,4.778,10000,4058.83
1000,2800,100,1.1,0.8,4.778,10000,6710.52
4000,1100,100,1.1,0.8,4.778,10000,4914.19
6500,500,100,1.1,0.8,4.778,10000,4068.56
6000,2800,100,1.1,0.55,4.778,10000,6301.13
3000,1100,100,1.1,0.69,4.778,10000,4642.54
2000,500,100,1.1,0.92,4.778,10000,4543.87
1000,2800,100,1.1,0.99,4.778,10000,7120.16
4000,1100,100,1.1,0.65,4.778,10000,4556.19
6500,500,100,1.1,0.58,4.778,10000,3335.65
6000,2800,100,2.8,0.55,4.778,10000,5684.94
3000,1100,100,1.5,0.69,4.778,10000,4398.21
2000,500,100,0.2,0.92,4.778,10000,4751.34
1000,2800,100,0.5,0.99,4.778,10000,7129.92
4000,1100,100,1.3,0.65,4.778,10000,4419.24
6500,500,100,2.3,0.58,4.778,10000,2338.47
6000,2800,100,0.5,0.55,4.778,10000,6593.87
3000,1100,100,0.9,0.69,4.778,10000,4771.62
2000,500,100,3,0.92,4.778,10000,3965.74
1000,2800,100,2.5,0.99,4.778,10000,7102.76
4000,1100,100,1.1,0.65,4.778,10000,4556.19
6500,500,100,0.3,0.58,4.778,10000,4357.93
4165,746,100,2.614,0.66,6.094,10000,2962.9
7257,417,100,1.023,0.63,6.094,10000,3339.35
11206,2725,100,2.699,0.58,6.094,10000,5689.39
2628,1013,100,1.768,0.6,6.094,10000,3905.14
7878,563,100,0.751,0.64,6.094,10000,4015.99
2153,3105,100,2.815,0.86,6.094,10000,6901.53
11756,2077,100,2.759,0.89,6.094,10000,5914.51
9136,2732,100,1.561,0.69,6.094,10000,6291.35
8299,3348,100,0.559,0.5,6.094,10000,7044.15
5196,2660,100,0.898,0.98,6.094,10000,6967.82
6558,3417,100,0.51,0.64,6.094,10000,7299.19
9718,2927,100,2.892,0.56,6.094,10000,5808.94
5729,407,100,0.51,0.66,6.094,10000,4065.66
3257,3371,100,2.784,0.58,6.094,10000,6340.81
1229,2427,100,1.049,0.87,6.094,10000,6486.95
5938,2172,100,2.576,0.87,6.094,10000,5954.98
2795,2429,100,2.892,0.95,6.094,10000,6549.32
10374,1403,100,2.168,0.65,6.094,10000,4394.69
2555,2872,100,2.513,0.5,6.094,10000,5745.64
7615,762,100,1.717,0.68,6.094,10000,3640.08
1461,2320,100,2.865,0.62,6.094,10000,5507.17
4688,628,100,2.59,0.79,6.094,10000,3329
7241,1269,100,1.074,0.56,6.094,10000,4614.18
6445,3087,100,2.077,0.76,6.094,10000,6671.67
3712,1892,100,0.887,0.63,6.094,10000,5568.27
5760,406,100,2.719,0.5,6.094,10000,1580.76
8583,264,100,2.775,0.92,6.094,10000,3478
3435,2700,100,2.194,0.84,6.094,10000,6490.52
3234,503,100,1.226,0.59,6.094,10000,3181.18
1637,224,100,1.99,0.9,6.094,10000,3815.03
5301,2042,100,2.92,0.75,6.094,10000,5251.41
11586,2997,100,1.635,0.95,6.094,10000,7210.56
5403,2924,100,1.593,0.53,6.094,10000,6160
11841,868,100,1.995,0.82,6.094,10000,4276.44
10664,3004,100,0.838,0.79,6.094,10000,6996.34
9147,2363,100,2.12,0.84,6.094,10000,6141.83
6673,457,100,0.791,0.55,6.094,10000,3531.6
2115,2223,100,1.738,0.67,6.094,10000,5698.33
2241,2785,100,0.901,0.63,6.094,10000,6469.81
7641,1214,100,0.723,0.72,6.094,10000,5068.88
8192,1608,100,2.949,0.94,6.094,10000,5620.24
6537,1337,100,2.148,0.66,6.094,10000,4313.3
10737,1591,100,2.156,0.82,6.094,10000,5202.31
11174,2563,100,2.155,0.95,6.094,10000,6730.82
4408,1422,100,2.668,0.58,6.094,10000,3988.26
4729,1026,100,1.511,0.5,6.094,10000,3765.15
11437,1919,100,1.248,0.78,6.094,10000,5746.81
10784,2518,100,1.49,0.59,6.094,10000,5901
5425,951,100,2.123,0.67,6.094,10000,3707.73
3249,1453,100,0.844,0.52,6.094,10000,4962.44
4212,368,100,0.762,0.86,6.094,10000,4261.32
4044,2578,100,2.126,0.72,6.094,10000,6013.02
10488,1768,100,1.57,0.65,6.094,10000,5147.64
2407,2389,100,2.23,0.57,6.094,10000,5540.84
1648,503,100,1.345,0.53,6.094,10000,3104.47
4837,1894,100,1.364,0.9,6.094,10000,5962.82
11178,1452,100,2.414,0.95,6.094,10000,5561.04
10060,647,100,2.975,0.91,6.094,10000,4127.38
9627,940,100,1.903,0.97,6.094,10000,5143.7
9100,743,100,0.516,0.83,6.094,10000,4821.22
11420,1078,100,0.913,0.53,6.094,12500,5328.01
7704,2752,100,0.769,0.52,6.094,12500,7250.92
7689,1225,100,2.144,0.62,6.094,12500,4821.37
9788,2590,100,1.272,0.98,6.094,12500,7966.9
4368,488,100,1.384,0.64,6.094,12500,3986.92
11855,3372,100,1.3,0.73,6.094,12500,8055.95
4669,2776,100,2.486,0.71,6.094,12500,6925.79
4986,1920,100,0.595,0.55,6.094,12500,6554.81
3021,238,100,2.768,0.58,6.094,12500,1625.98
11636,3491,100,1.832,0.67,6.094,12500,7817.78
8851,590,100,0.659,0.57,6.094,12500,4949.6
3073,2336,100,2.176,0.98,6.094,12500,7656.35
8983,2642,100,1.809,0.71,6.094,12500,7039.42
6052,1520,100,0.88,0.9,6.094,12500,6688.42
11921,511,100,2.793,0.53,6.094,12500,2589.54
5620,2741,100,1.699,0.92,6.094,12500,7851.66
5927,508,100,2.089,0.55,6.094,12500,2902.86
2463,3311,100,1.125,0.82,6.094,12500,8240.5
7675,1665,100,2.837,0.55,6.094,12500,4940.67
7241,2271,100,2.89,0.58,6.094,12500,5810.21
4674,1062,100,2.994,0.97,6.094,12500,6243.79
2977,670,100,2.208,0.71,6.094,12500,4066.51
3834,1251,100,1.849,0.79,6.094,12500,5673.31
11251,974,100,2.939,0.93,6.094,12500,5794.65
4008,1192,100,2.208,0.77,6.094,12500,5330.5
2444,2260,100,1.949,0.6,6.094,12500,6336.72
5732,3128,100,0.832,0.61,6.094,12500,7744.08
11001,2817,100,1.563,0.5,6.094,12500,6835.33
10495,2702,100,2.309,0.59,6.094,12500,6580.29
3141,1451,100,0.829,0.63,6.094,12500,6055.67
1050,1181,100,0.539,0.74,6.094,12500,6132.67
1806,453,100,1.777,0.75,6.094,12500,4384.65
11394,2227,100,1.018,0.83,6.094,12500,7231.24
4604,2662,100,2.771,0.55,6.094,12500,6227.57
8307,2405,100,1.806,0.96,6.094,12500,7665.7
7427,1417,100,2.826,0.53,6.094,12500,4494.22
10162,2695,100,2.394,0.66,6.094,12500,6731.89
5955,211,100,1.222,0.93,6.094,12500,5112.76
9133,2562,100,1.351,0.82,6.094,12500,7433.41
9485,3236,100,0.686,0.99,6.094,12500,8661.52
2518,1516,100,1.049,0.51,6.094,12500,5761.15
7994,1198,100,0.845,0.79,6.094,12500,6103.01
1580,3116,100,2.981,0.75,6.094,12500,7421.22
7378,407,100,1.998,0.85,6.094,12500,4482.01
2997,1196,100,0.669,0.83,6.094,12500,6255.14
11388,2430,100,2.475,0.91,6.094,12500,7401.06
4172,3147,100,2.499,0.84,6.094,12500,7815.24
11961,2548,100,1.602,0.59,6.094,12500,6733.81
2742,2755,100,2.426,0.9,6.094,12500,7692.63
7868,3059,100,0.646,0.91,6.094,12500,8318.97
6762,1884,100,0.669,0.91,6.094,12500,7124.96
8217,634,100,1.048,0.82,6.094,12500,5353.5
6948,641,100,1.213,0.95,6.094,12500,5838.78
6678,2572,100,1.594,0.99,6.094,12500,7961.87
1929,1328,100,2.038,0.61,6.094,12500,5302.49
4537,2377,100,2.829,0.79,6.094,12500,6685.06
8204,2244,100,2.252,0.82,6.094,12500,6834.89
7541,914,100,1.732,0.71,6.094,12500,4899.12
11891,1744,100,2.392,0.88,6.094,12500,6529.53
7609,599,100,1.487,0.83,6.094,12500,5064.35
6267,1819,100,2.305,0.6,6.094,7500,3999.41
10997,3419,100,1.996,0.76,6.094,7500,6142.67
4607,397,100,0.876,0.87,6.094,7500,3269.37
6206,1889,100,1.44,0.95,6.094,7500,5046.53
10812,1065,100,1.278,0.83,6.094,7500,3913.43
6639,2399,100,2.378,0.78,6.094,7500,5039.23
4500,204,100,0.634,0.68,6.094,7500,2533.83
2070,2411,100,0.65,0.86,6.094,7500,5511.19
7530,1959,100,2.874,0.74,6.094,7500,4327.7
6866,2927,100,2.921,0.53,6.094,7500,5024.45
11438,2904,100,2.083,0.74,6.094,7500,5562.6
3126,2975,100,0.734,0.65,6.094,7500,5826.79
11088,2312,100,1.92,0.81,6.094,7500,5119.99
2679,1399,100,1.018,0.95,6.094,7500,4575.36
4711,2697,100,1.401,0.82,6.094,7500,5615.76
11140,792,100,2.101,0.58,6.094,7500,2456.79
11402,3126,100,2.1,0.9,6.094,7500,6139
11447,2263,100,2.077,0.93,6.094,7500,5344.1
1252,3273,100,2.261,0.82,6.094,7500,6100.97
11815,1464,100,1.838,0.93,6.094,7500,4534.62
5213,2062,100,2.579,0.61,6.094,7500,4238
1094,2390,100,1.783,0.65,6.094,7500,5007.37
9738,459,100,2.804,0.82,6.094,7500,2244.39
4696,1542,100,1.067,0.91,6.094,7500,4646.67
9280,372,100,0.92,0.95,6.094,7500,3481.73
2738,1682,100,2.786,0.8,6.094,7500,4314.38
11462,2265,100,2.865,0.64,6.094,7500,4494.8
4506,1802,100,1.658,0.71,6.094,7500,4405.84
6528,1567,100,2.444,0.94,6.094,7500,4619.76
1112,2565,100,1.049,0.77,6.094,7500,5473.29
7474,763,100,0.649,0.99,6.094,7500,4016.1
5681,1233,100,0.575,0.84,6.094,7500,4314
6326,3416,100,0.749,0.55,6.094,7500,6168.06
11526,1107,100,1.077,0.82,6.094,7500,4011.14
2226,3167,100,2.405,0.51,6.094,7500,5445.28
10443,3175,100,2.524,0.99,6.094,7500,6427.79
2783,2745,100,0.53,0.8,6.094,7500,5805.02
7988,1145,100,1.959,0.82,6.094,7500,3766.45
7754,1467,100,2.403,0.62,6.094,7500,3546.06
11862,1845,100,1.783,0.87,6.094,7500,4789.66
1372,1792,100,1.073,0.53,6.094,7500,4389.36
10012,400,100,1.067,0.98,6.094,7500,3602.97
10747,3496,100,0.837,0.67,6.094,7500,6361.27
4051,344,100,2.84,0.79,6.094,7500,1686.69
10894,1620,100,0.897,0.52,6.094,7500,4238.59
2654,3282,100,0.535,0.96,6.094,7500,6510.18
2891,1118,100,1.861,0.77,6.094,7500,3698.34
11672,1668,100,1.82,0.92,6.094,7500,4724.48
6092,1523,100,1.177,0.95,6.094,7500,4691.06
3785,1661,100,0.956,0.82,6.094,7500,4646.01
9676,1814,100,2.896,0.91,6.094,7500,4720.61
2874,1525,100,1.955,0.78,6.094,7500,4251.6
3118,2405,100,2.669,0.5,6.094,7500,4438.18
11840,1458,100,2.507,0.66,6.094,7500,3610
11527,530,100,2.987,0.81,6.094,7500,2315.06
1942,1968,100,2.691,0.97,6.094,7500,5142.09
10656,1676,100,2.992,0.84,6.094,7500,4268.8
10765,2563,100,2.335,0.94,6.094,7500,5658.83
6849,392,100,1.962,0.59,6.094,7500,1543.41
10160,224,100,0.873,0.88,6.094,7500,3008.92
